indice_tiempo;medio_de_transporte;pais_origen;viajes_de_turistas_no_residentes
1/1/2010;Aérea;Bolivia;4390
1/1/2010;Aérea;Brasil;72669
1/1/2010;Aérea;Chile;14726
1/1/2010;Aérea;Paraguay;4062
1/1/2010;Aérea;Uruguay;3512
1/1/2010;Aérea;EE.UU. y Canadá;42783
1/1/2010;Aérea;Resto de América;36410
1/1/2010;Aérea;Europa;75995
1/1/2010;Aérea;Resto del mundo;15212
1/1/2010;Fluvial/Marítima;Bolivia;2304
1/1/2010;Fluvial/Marítima;Brasil;51739
1/1/2010;Fluvial/Marítima;Chile;2157
1/1/2010;Fluvial/Marítima;Paraguay;7080
1/1/2010;Fluvial/Marítima;Uruguay;28861
1/1/2010;Fluvial/Marítima;EE.UU. y Canadá;14390
1/1/2010;Fluvial/Marítima;Resto de América;6693
1/1/2010;Fluvial/Marítima;Europa;18412
1/1/2010;Fluvial/Marítima;Resto del mundo;3343
1/1/2010;Terrestre;Bolivia;25893
1/1/2010;Terrestre;Brasil;45291
1/1/2010;Terrestre;Chile;118626
1/1/2010;Terrestre;Paraguay;58265
1/1/2010;Terrestre;Uruguay;25553
1/1/2010;Terrestre;EE.UU. y Canadá;8260
1/1/2010;Terrestre;Resto de América;14183
1/1/2010;Terrestre;Europa;38401
1/1/2010;Terrestre;Resto del mundo;16929
1/2/2010;Aérea;Bolivia;2843
1/2/2010;Aérea;Brasil;51701
1/2/2010;Aérea;Chile;18448
1/2/2010;Aérea;Paraguay;3416
1/2/2010;Aérea;Uruguay;3226
1/2/2010;Aérea;EE.UU. y Canadá;28007
1/2/2010;Aérea;Resto de América;18546
1/2/2010;Aérea;Europa;58336
1/2/2010;Aérea;Resto del mundo;13860
1/2/2010;Fluvial/Marítima;Bolivia;822
1/2/2010;Fluvial/Marítima;Brasil;38876
1/2/2010;Fluvial/Marítima;Chile;3969
1/2/2010;Fluvial/Marítima;Paraguay;6126
1/2/2010;Fluvial/Marítima;Uruguay;28024
1/2/2010;Fluvial/Marítima;EE.UU. y Canadá;15187
1/2/2010;Fluvial/Marítima;Resto de América;3326
1/2/2010;Fluvial/Marítima;Europa;22466
1/2/2010;Fluvial/Marítima;Resto del mundo;3541
1/2/2010;Terrestre;Bolivia;17884
1/2/2010;Terrestre;Brasil;31437
1/2/2010;Terrestre;Chile;175073
1/2/2010;Terrestre;Paraguay;55251
1/2/2010;Terrestre;Uruguay;24530
1/2/2010;Terrestre;EE.UU. y Canadá;6962
1/2/2010;Terrestre;Resto de América;8528
1/2/2010;Terrestre;Europa;32414
1/2/2010;Terrestre;Resto del mundo;13568
1/3/2010;Aérea;Bolivia;2917
1/3/2010;Aérea;Brasil;45960
1/3/2010;Aérea;Chile;13794
1/3/2010;Aérea;Paraguay;4261
1/3/2010;Aérea;Uruguay;6210
1/3/2010;Aérea;EE.UU. y Canadá;35767
1/3/2010;Aérea;Resto de América;23824
1/3/2010;Aérea;Europa;64465
1/3/2010;Aérea;Resto del mundo;15004
1/3/2010;Fluvial/Marítima;Bolivia;2068
1/3/2010;Fluvial/Marítima;Brasil;19089
1/3/2010;Fluvial/Marítima;Chile;887
1/3/2010;Fluvial/Marítima;Paraguay;6113
