indice_tiempo;medio_de_transporte;pais_destino;viajes_de_turistas_residentes
1/1/2016;Aérea;Bolivia;4196
1/1/2016;Aérea;Brasil;104681
1/1/2016;Aérea;Chile;28185
1/1/2016;Aérea;Paraguay;3093
1/1/2016;Aérea;Uruguay;15601
1/1/2016;Aérea;EE.UU. y Canadá;55222
1/1/2016;Aérea;Resto de América;76330
1/1/2016;Aérea;Europa;32038
1/1/2016;Aérea;Resto del mundo;12649
1/1/2016;Fluvial/Marítima;Bolivia;6496
1/1/2016;Fluvial/Marítima;Brasil;27243
1/1/2016;Fluvial/Marítima;Chile;11519
1/1/2016;Fluvial/Marítima;Paraguay;9920
1/1/2016;Fluvial/Marítima;Uruguay;102277
1/1/2016;Fluvial/Marítima;EE.UU. y Canadá;1210
1/1/2016;Fluvial/Marítima;Resto de América;334
1/1/2016;Fluvial/Marítima;Europa;733
1/1/2016;Fluvial/Marítima;Resto del mundo;84
1/1/2016;Terrestre;Bolivia;50456
1/1/2016;Terrestre;Brasil;361086
1/1/2016;Terrestre;Chile;335435
1/1/2016;Terrestre;Paraguay;128491
1/1/2016;Terrestre;Uruguay;168571
1/1/2016;Terrestre;EE.UU. y Canadá;279
1/1/2016;Terrestre;Resto de América;3666
1/1/2016;Terrestre;Europa;520
1/1/2016;Terrestre;Resto del mundo;234
1/2/2016;Aérea;Bolivia;6287
1/2/2016;Aérea;Brasil;101688
1/2/2016;Aérea;Chile;28663
1/2/2016;Aérea;Paraguay;2604
1/2/2016;Aérea;Uruguay;12678
1/2/2016;Aérea;EE.UU. y Canadá;60999
1/2/2016;Aérea;Resto de América;86741
1/2/2016;Aérea;Europa;43823
1/2/2016;Aérea;Resto del mundo;15606
1/2/2016;Fluvial/Marítima;Bolivia;4774
1/2/2016;Fluvial/Marítima;Brasil;27396
1/2/2016;Fluvial/Marítima;Chile;12530
1/2/2016;Fluvial/Marítima;Paraguay;9692
1/2/2016;Fluvial/Marítima;Uruguay;100631
1/2/2016;Fluvial/Marítima;EE.UU. y Canadá;718
1/2/2016;Fluvial/Marítima;Resto de América;1080
1/2/2016;Fluvial/Marítima;Europa;369
1/2/2016;Fluvial/Marítima;Resto del mundo;116
1/2/2016;Terrestre;Bolivia;63329
1/2/2016;Terrestre;Brasil;328557
1/2/2016;Terrestre;Chile;313945
1/2/2016;Terrestre;Paraguay;97491
1/2/2016;Terrestre;Uruguay;177215
1/2/2016;Terrestre;EE.UU. y Canadá;230
1/2/2016;Terrestre;Resto de América;3023
1/2/2016;Terrestre;Europa;429
1/2/2016;Terrestre;Resto del mundo;193
1/3/2016;Aérea;Bolivia;4249
1/3/2016;Aérea;Brasil;98355
1/3/2016;Aérea;Chile;25517
1/3/2016;Aérea;Paraguay;2338
1/3/2016;Aérea;Uruguay;7081
1/3/2016;Aérea;EE.UU. y Canadá;70368
1/3/2016;Aérea;Resto de América;70845
1/3/2016;Aérea;Europa;45705
1/3/2016;Aérea;Resto del mundo;16015
1/3/2016;Fluvial/Marítima;Bolivia;6323
1/3/2016;Fluvial/Marítima;Brasil;10690
1/3/2016;Fluvial/Marítima;Chile;4854
1/3/2016;Fluvial/Marítima;Paraguay;7566
1/3/2016;Fluvial/Marítima;Uruguay;63288
1/3/2016;Fluvial/Marítima;EE.UU. y Canadá;95
1/3/2016;Fluvial/Marítima;Resto de América;184
1/3/2016;Fluvial/Marítima;Europa;50
1/3/2016;Fluvial/Marítima;Resto del mundo;16
1/3/2016;Terrestre;Bolivia;34113
1/3/2016;Terrestre;Brasil;136954
1/3/2016;Terrestre;Chile;193075
1/3/2016;Terrestre;Paraguay;68557
1/3/2016;Terrestre;Uruguay;90377
1/3/2016;Terrestre;EE.UU. y Canadá;230
1/3/2016;Terrestre;Resto de América;3027
1/3/2016;Terrestre;Europa;429
1/3/2016;Terrestre;Resto del mundo;193
1/4/2016;Aérea;Bolivia;3201
1/4/2016;Aérea;Brasil;66140
1/4/2016;Aérea;Chile;22725
1/4/2016;Aérea;Paraguay;2868
1/4/2016;Aérea;Uruguay;5121
1/4/2016;Aérea;EE.UU. y Canadá;65311
1/4/2016;Aérea;Resto de América;67930
1/4/2016;Aérea;Europa;44351
1/4/2016;Aérea;Resto del mundo;14921
1/4/2016;Fluvial/Marítima;Bolivia;5602
1/4/2016;Fluvial/Marítima;Brasil;3867
1/4/2016;Fluvial/Marítima;Chile;136
1/4/2016;Fluvial/Marítima;Paraguay;6473
1/4/2016;Fluvial/Marítima;Uruguay;25137
1/4/2016;Fluvial/Marítima;EE.UU. y Canadá;114
1/4/2016;Fluvial/Marítima;Resto de América;249
1/4/2016;Fluvial/Marítima;Europa;56
1/4/2016;Fluvial/Marítima;Resto del mundo;17
1/4/2016;Terrestre;Bolivia;28300
1/4/2016;Terrestre;Brasil;53902
1/4/2016;Terrestre;Chile;113887
1/4/2016;Terrestre;Paraguay;66681
1/4/2016;Terrestre;Uruguay;27907
1/4/2016;Terrestre;EE.UU. y Canadá;97
1/4/2016;Terrestre;Resto de América;1277
1/4/2016;Terrestre;Europa;181
1/4/2016;Terrestre;Resto del mundo;81
1/5/2016;Aérea;Bolivia;2899
1/5/2016;Aérea;Brasil;49450
1/5/2016;Aérea;Chile;25059
1/5/2016;Aérea;Paraguay;3496
1/5/2016;Aérea;Uruguay;5593
1/5/2016;Aérea;EE.UU. y Canadá;76281
1/5/2016;Aérea;Resto de América;67362
1/5/2016;Aérea;Europa;59681
1/5/2016;Aérea;Resto del mundo;12322
1/5/2016;Fluvial/Marítima;Bolivia;7407
1/5/2016;Fluvial/Marítima;Brasil;6240
1/5/2016;Fluvial/Marítima;Chile;41
1/5/2016;Fluvial/Marítima;Paraguay;8086
1/5/2016;Fluvial/Marítima;Uruguay;26017
1/5/2016;Fluvial/Marítima;EE.UU. y Canadá;140
1/5/2016;Fluvial/Marítima;Resto de América;342
1/5/2016;Fluvial/Marítima;Europa;107
1/5/2016;Fluvial/Marítima;Resto del mundo;14
1/5/2016;Terrestre;Bolivia;28363
1/5/2016;Terrestre;Brasil;35830
1/5/2016;Terrestre;Chile;93967
1/5/2016;Terrestre;Paraguay;70291
1/5/2016;Terrestre;Uruguay;25707
1/5/2016;Terrestre;EE.UU. y Canadá;14
1/5/2016;Terrestre;Resto de América;185
1/5/2016;Terrestre;Europa;26
1/5/2016;Terrestre;Resto del mundo;11
1/6/2016;Aérea;Bolivia;2355
1/6/2016;Aérea;Brasil;41792
1/6/2016;Aérea;Chile;29914
1/6/2016;Aérea;Paraguay;3457
1/6/2016;Aérea;Uruguay;5473
1/6/2016;Aérea;EE.UU. y Canadá;74201
1/6/2016;Aérea;Resto de América;61876
1/6/2016;Aérea;Europa;77750
1/6/2016;Aérea;Resto del mundo;9376
1/6/2016;Fluvial/Marítima;Bolivia;8964
1/6/2016;Fluvial/Marítima;Brasil;3975
1/6/2016;Fluvial/Marítima;Chile;31
1/6/2016;Fluvial/Marítima;Paraguay;8875
1/6/2016;Fluvial/Marítima;Uruguay;26407
1/6/2016;Fluvial/Marítima;EE.UU. y Canadá;124
1/6/2016;Fluvial/Marítima;Resto de América;336
1/6/2016;Fluvial/Marítima;Europa;158
1/6/2016;Fluvial/Marítima;Resto del mundo;12
1/6/2016;Terrestre;Bolivia;28099
1/6/2016;Terrestre;Brasil;39835
1/6/2016;Terrestre;Chile;63002
1/6/2016;Terrestre;Paraguay;74236
1/6/2016;Terrestre;Uruguay;31486
1/6/2016;Terrestre;EE.UU. y Canadá;61
1/6/2016;Terrestre;Resto de América;808
1/6/2016;Terrestre;Europa;114
1/6/2016;Terrestre;Resto del mundo;51
1/7/2016;Aérea;Bolivia;3731
1/7/2016;Aérea;Brasil;57666
1/7/2016;Aérea;Chile;44808
1/7/2016;Aérea;Paraguay;3166
1/7/2016;Aérea;Uruguay;4694
1/7/2016;Aérea;EE.UU. y Canadá;66306
1/7/2016;Aérea;Resto de América;64944
1/7/2016;Aérea;Europa;73738
1/7/2016;Aérea;Resto del mundo;9500
1/7/2016;Fluvial/Marítima;Bolivia;10536
1/7/2016;Fluvial/Marítima;Brasil;7590
1/7/2016;Fluvial/Marítima;Chile;67
1/7/2016;Fluvial/Marítima;Paraguay;13564
1/7/2016;Fluvial/Marítima;Uruguay;35164
1/7/2016;Fluvial/Marítima;EE.UU. y Canadá;940
1/7/2016;Fluvial/Marítima;Resto de América;1325
1/7/2016;Fluvial/Marítima;Europa;878
1/7/2016;Fluvial/Marítima;Resto del mundo;90
1/7/2016;Terrestre;Bolivia;47167
1/7/2016;Terrestre;Brasil;107121
1/7/2016;Terrestre;Chile;127320
1/7/2016;Terrestre;Paraguay;112766
1/7/2016;Terrestre;Uruguay;53312
